titre,texte,date_publication,langue
"Comment expliquer le recul démographique de la Chine, dix ans après la fin de la politique de l'enfant unique ?","Le pays communiste a vu sa population reculer pour la troisième année consécutive, avec davantage de décès que de naissances.",2025-11-01 07:01:10+01:00,fr
"Origine interstellaire, observations inattendues, hypothèse extraterrestre... Pourquoi la comète 3I/ATLAS intrigue-t-elle autant ?","Ce corps céleste, découvert en juillet dernier, traverse actuellement notre système solaire. Ce n'est que la troisième fois qu'un objet interstellaire est observé.",2025-11-01 07:01:37+01:00,fr
"""Le temps joue pour lui"" : après le rejet de la taxe Zucman à l'Assemblée, Sébastien Lecornu promet des concessions au PS et s'offre un sursis","Présent dans l'hémicycle lors des débats budgétaires, le Premier ministre s'est dit favorable au dégel des pensions de retraites et des minima sociaux. De quoi éloigner une censure immédiate des députés socialistes.",2025-11-01 09:11:42+01:00,fr
Un Afghan de 20 ans arrêté à Lyon et mis en examen pour association de malfaiteurs terroriste,"Il est soupçonné d'avoir été en lien avec l'Etat islamique au Khorasan, notamment par l'envoi de fonds, selon le parquet national antiterroriste.",2025-11-01 12:21:45+01:00,fr
Policiers accusés de viols au tribunal de Bobigny : l'un des suspects a filmé la scène,"Une jeune femme, déférée au tribunal de Bobigny, accuse deux policiers, chargés de sa surveillance, de l'avoir violée dans la nuit de mardi à mercredi. Les deux hommes ont été déférés devant un juge samedi matin, à l'issue de leur garde à vue.",2025-11-01 11:20:25+01:00,fr
"Quand un enterrement se prépare comme un mariage : une ""funeral planner"" nous explique son métier pas comme les autres","Depuis quelques années, un nouveau métier fleurit afin d'aider les familles à organiser les obsèques de leurs disparus. Valery Guyot-Sionnest, première ""funeral planner"" en France, lève le voile sur cette profession méconnue.",2025-11-01 07:00:04+01:00,fr
Clermont-Ferrand : un mort et un blessé dans une fusillade,"Deux hommes ont été secourus par les pompiers de Clermont-Ferrand vendredi soir, après un échange de tirs dans un quartier au nord du centre-ville. L'un des blessés, grièvement touché, est décédé.",2025-11-01 11:36:09+01:00,fr
Les pneus hiver obligatoires à partir du 1er novembre dans 34 départements des massifs montagneux,Il est obligatoire d'équiper son véhicule pour pouvoir conduire sur des routes enneigées ou verglacées.,2025-11-01 12:10:26+01:00,fr
7 choses à savoir sur le Grand Musée égyptien du Caire avant son inauguration,"Le musée consacré aux pharaons a été déclaré par le pouvoir égyptien comme ""le plus grand édifice culturel du XXIe siècle"". Avec son inauguration samedi, l'Egypte entend s'affirmer comme ""leader mondial dans le domaine de la culture"".",2025-10-31 12:13:37+01:00,fr
Un homme de 70 ans renversé par une voiture de police banalisée à Orléans,"Un homme a été renversé ce samedi 1er novembre vers 9h30, par une voiture de police banalisée dans le centre-ville d'Orléans. Il a été évacué d'urgence sur civière par les pompiers.",2025-11-01 11:20:03+01:00,fr
Guerre à Gaza : l'armée israélienne affirme que trois corps remis par le Hamas ne sont pas ceux d'otages,Le mouvement islamiste palestinien a jusqu'à présent restitué les dépouilles de 17 des 28 otages morts.,2025-11-01 10:52:12+01:00,fr
"Ligue 1 : retour sur les terrains à nouveau reporté pour Paul Pogba, blessé à une cheville","Le champion du monde 2018 devait figurer pour la première fois dans le groupe de l'AS Monaco en vue du match contre le Paris FC, samedi, mais a connu un nouveau pépin physique.",2025-11-01 10:49:09+01:00,fr
La présidente de la Tanzanie proclamée gagnante des élections après trois jours de violences,"Sans opposition face à elle, Samia Suluhu Hassan a remporté la présidentielle avec 97,66% des voix, selon les résultats définitifs proclamés à la télévision d'Etat.",2025-11-01 11:50:58+01:00,fr
"Heures creuses, frais bancaires après un décès, trêve hivernale... Ce qui change à partir du 1er novembre","Les créneaux durant lesquels l'électricité est moins chère ne seront plus entre 22 heures et 6 heures, comme cela était le cas.",2025-10-31 08:19:57+01:00,fr
"""Un des meilleurs matchs de ma vie""... Alexis Lebrun efface quatre balles de match face au 4e mondial au WTT Champions de Montpellier","Mené deux manches à zéro, puis 10-6 dans le cinquième et dernier set, le Français a fini par s'imposer face au Japonais Tomokazu Harimoto, vendredi, en huitièmes de finale.",2025-11-01 11:31:24+01:00,fr
"""Des vivants"" : une série bouleversante sur le retour à la vie des otages du Bataclan","Après ""Jeux d'influence"" et ""Sambre"", le réalisateur Jean-Xavier de Lestrade raconte dans ""Des vivants"", l'histoire et la reconstruction des otages du Bataclan, de la nuit d'horreur au procès.",2025-11-01 06:10:01+01:00,fr
Sahara occidental : le Conseil de sécurité de l'ONU soutient le plan d'autonomie marocain,"Des milliers de Marocains ont célébré vendredi soir cette décision. Rabat et les indépendantistes du Front Polisario, soutenus par l'Algérie, se disputent ce territoire depuis un demi-siècle.",2025-11-01 07:28:52+01:00,fr
"Pour que ""les gens n'errent pas complètement ivres"", la Pologne teste des restrictions sur la vente d'alcool","Véritable fléau dans le pays, l'alcool y est responsable de deux fois plus de décès que la moyenne européenne.",2025-11-01 07:20:18+01:00,fr
La Chine envoie trois nouveaux astronautes sur sa station spatiale,Leur mission durera six mois et vise notamment à mener des expériences scientifiques.,2025-11-01 11:48:12+01:00,fr
Etats-Unis : la Maison Blanche restreint l'accès des journalistes à son bureau de presse,Cette annonce intervient deux semaines après que le Pentagone a imposé aux journalistes accrédités de ne pas publier certaines informations sans autorisation explicite du ministère.,2025-11-01 11:06:10+01:00,fr
